RegionSet,Region,Metric,Weighting,Period,SlopePerDecade,SE,phi,pValue,nStar,StartFit,EndFit,nYears
Global,"Global",AnnualMean,area,1990-2022,0.795095932127072,0.252360476229262,0.246476299355328,0.0016291554178025,14.8615586874256,30.9598828487896,33.5041898315963,33
Global,"Global",AnnualMean,pop,1990-2022,1.7022017631544,0.312349933802425,0.256743922068099,5.04654566852281e-08,10.3137534277346,33.3181396222746,38.7651852643687,33
Global,"Global",OSDMA8,area,1990-2022,0.55539796392478,0.210522435067605,0.313565987338241,0.00833501235664259,16.7285856381581,36.5788284562949,38.3561019408542,33
Global,"Global",OSDMA8,pop,1990-2022,2.0681010074847,0.256584924751365,0.0988394410250292,7.62299819941078e-16,7.94516187299618,39.0184547534266,45.6363779773777,33
world,"Africa",AnnualMean,area,1990-2022,1.64349386944586,0.362176475600713,0.0397080594314403,5.68370945681989e-06,11.6528258543051,30.8004880295597,36.0596684117865,33
world,"Africa",AnnualMean,pop,1990-2022,1.44466446115118,0.360248348536409,0.070495021123039,6.06698102472559e-05,12.6537668802029,31.8835723043705,36.5064985800543,33
world,"Africa",OSDMA8,area,1990-2022,0.932725662227788,0.289422367057262,-0.0695150406103616,0.00126982045410334,14.639129969203,37.1993463274408,40.1840684465697,33
world,"Africa",OSDMA8,pop,1990-2022,1.0646386441213,0.297666116156026,0.0178465293235371,0.000348065306640106,13.6567682471264,37.4976777942191,40.9045214554072,33
world,"EastAsia",AnnualMean,area,1990-2022,2.67264682272454,0.480771414575044,0.562421497399605,2.71200158646247e-08,10.1779707797512,33.1736202785203,41.7260901112388,33
world,"EastAsia",AnnualMean,pop,1990-2022,3.62391421970051,0.582217935769498,0.610459303780794,4.83630624197038e-10,9.4391945423562,33.1663900882461,44.7629155912878,33
world,"EastAsia",OSDMA8,area,1990-2022,3.41236216859821,0.417650568113175,0.446724599191861,3.0742984502345e-16,7.87351141863763,38.6339486768181,49.5535076163324,33
world,"EastAsia",OSDMA8,pop,1990-2022,5.383350074652,0.629118055276103,0.529111838294812,1.15863490644121e-17,7.63453940211215,37.9407979464972,55.1675181853836,33
world,"Europe",AnnualMean,area,1990-2022,-0.186778647937791,0.331012722898423,0.475244001357917,0.572574303236551,46.7743896624955,35.3341793141599,34.7364876407589,33
