RegionSet,Region,Metric,Weighting,SlopePerDecade,pValue,StartVal,EndVal,nYears
Global,"Global",AnnualMean,area,0.780345388240236,0.000690619202469303,33.8803433480538,36.1695098437265,33
Global,"Global",AnnualMean,pop,1.7569332777054,4.76145190586997e-07,35.3819245766364,41.1255859972753,33
Global,"Global",OSDMA8,area,0.544941014124047,0.00457572348982088,36.615929041858,39.680703737494,33
Global,"Global",OSDMA8,pop,2.17508174947564,1.55428854641009e-08,38.7444830181077,46.5118188802155,33
Global,"Global",DJF,area,1.30861162211619,1.77108988823175e-05,31.0835725605819,32.5674807037965,33
Global,"Global",DJF,pop,0.76461732813924,0.0227457297654239,32.4105495224274,34.7381145075965,33
Global,"Global",MAM,area,0.85852718027982,0.00120230701629991,36.0124263385956,39.0498412258625,33
Global,"Global",MAM,pop,2.03827290596604,1.96700763943007e-06,38.0111661670972,45.4431262834594,33
Global,"Global",JJA,area,-0.0388804550892959,0.913630103640186,35.9063313997807,38.602521017424,33
Global,"Global",JJA,pop,2.11103381157521,4.04828940129894e-07,37.0855780274966,45.0049168694535,33
Global,"Global",SON,area,1.06312455051174,0.000549774569306395,32.519043093257,34.4581964278231,33
Global,"Global",SON,pop,1.96972820363078,1.00587039711757e-05,34.0204045895245,39.3161863285918,33
Global,"Global",SeasonAmp,area,-0.765700387547085,4.02535754034643e-05,6.29984446807883,9.74624573494081,33
Global,"Global",SeasonAmp,pop,0.550794986449078,0.04563224527432,6.78291380303362,14.5994744681212,33
world,"Africa",AnnualMean,area,1.95791426022476,2.29215821297896e-06,38.6326887382705,36.929132979134,33
world,"Africa",AnnualMean,pop,1.74734843520695,1.53962819682826e-05,39.0221632367367,37.1294957569228,33
world,"Africa",OSDMA8,area,1.00453922320597,0.00204658044054268,40.6659767528308,38.8888235751923,33
world,"Africa",OSDMA8,pop,1.10904241458742,0.00415082287690874,40.4331096884163,38.69545537788,33
world,"Africa",DJF,area,2.89860734098656,4.18773713996506e-06,36.5214264575128,34.5453779089048,33
world,"Africa",DJF,pop,2.21488944895502,0.000114267801497649,37.660208356823,35.0902094049668,33
world,"Africa",MAM,area,1.812947394414,2.68113085423871e-05,40.3105589213025,38.2057216881405,33
world,"Africa",MAM,pop,1.66398476598563,0.000489856079044269,40.1228133441442,37.8221779590039,33
world,"Africa",JJA,area,0.0395234311139507,0.938248014604613,40.4299218990968,38.5237529646248,33
world,"Africa",JJA,pop,0.178682041929173,0.525251735977147,40.1233593596482,38.5556395546945,33
world,"Africa",SON,area,3.04080509869146,5.59504614867215e-07,37.2688476751697,36.4416793548661,33
world,"Africa",SON,pop,2.70627566150282,3.60701779366552e-06,38.1822718863315,37.0499561090257,33
world,"Africa",SeasonAmp,area,-1.72688147367775,6.83193584432954e-05,4.33998439969423,5.32366511778876,33
world,"Africa",SeasonAmp,pop,-0.91234830576962,0.0115504432641527,2.69230313404914,4.32033855422829,33
world,"EastAsia",AnnualMean,area,2.69747387235642,1.08141933206149e-08,34.5135329272908,43.7714882261224,33
world,"EastAsia",AnnualMean,pop,3.6036703903639,3.6876348755331e-11,34.3956460055001,47.1941441852294,33
world,"EastAsia",OSDMA8,area,3.53524038894666,8.46149313370764e-11,37.9171656849658,51.1077615486575,33
world,"EastAsia",OSDMA8,pop,5.22648411074422,1.78972094706477e-12,37.3315128564628,57.1483996944943,33
world,"EastAsia",DJF,area,1.36181006892242,0.001078058940098,30.7604302609517,35.1734176285125,33
world,"EastAsia",DJF,pop,0.287386701270317,0.466468277436791,31.056865566851,33.4893275715332,33
world,"EastAsia",MAM,area,2.88248479828974,9.01317720611908e-08,39.6528328950312,51.9318850256148,33
world,"EastAsia",MAM,pop,3.83080767305218,2.09585701889447e-07,40.3931370892709,54.1950862173501,33
world,"EastAsia",JJA,area,3.95946081951951,6.88469859250442e-11,34.9579325137984,46.5827825425125,33
world,"EastAsia",JJA,pop,6.41142422915099,2.98917772911905e-11,33.2073407784878,53.9764099036174,33
world,"EastAsia",SON,area,2.6129849576652,1.00587039711757e-05,32.6829360393818,41.3978677078499,33
world,"EastAsia",SON,pop,3.83933159391819,7.70410215591385e-07,32.9252405873908,47.1157530484169,33
world,"EastAsia",SeasonAmp,area,1.83852855622171,6.51725702018777e-06,9.77912325899677,21.1588787363199,33
world,"EastAsia",SeasonAmp,pop,4.62409910557159,4.25843022212501e-10,9.82845767230456,27.4493033829853,33
world,"Europe",AnnualMean,area,-0.253735271984667,0.198430409681258,35.4133133780823,35.4833571123116,33
world,"Europe",AnnualMean,pop,-0.0801813885537812,0.698489477330232,35.5856545737761,35.3029384039097,33
world,"Europe",OSDMA8,area,-0.93461155606585,0.000305963170592225,44.2150060978982,42.4115344911025,33
world,"Europe",OSDMA8,pop,-0.907596823391741,0.00457572348982088,45.3077288054842,42.7432450624275,33
world,"Europe",DJF,area,0.780474528989037,0.000864417849300997,24.8050482321957,29.1366136711611,33
world,"Europe",DJF,pop,1.04217469450249,5.25375659516944e-05,23.7815184506386,27.2252053966942,33
world,"Europe",MAM,area,-0.46383383926321,0.158542176618928,43.0993822173861,41.2591249046202,33
world,"Europe",MAM,pop,-0.1304811619911,0.721562375988352,43.0680266051878,40.8220047686286,33
world,"Europe",JJA,area,-1.51184656195021,0.000271383941014789,45.1281940958246,42.3134654918231,33
world,"Europe",JJA,pop,-1.54300092584518,0.000864417849300997,47.3005183126977,44.0415950681567,33
world,"Europe",SON,area,0.11741564451167,0.566446141766224,28.6206289669229,29.2242243816419,33
world,"Europe",SON,pop,0.360834828479172,0.0177570704833444,28.1925549265805,29.1229483821595,33
world,"Europe",SeasonAmp,area,-1.90972788999461,3.17494213828393e-08,22.0864383850114,17.7718331655419,33
world,"Europe",SeasonAmp,pop,-2.240954259706,1.2970775054798e-08,24.2640998904492,18.7348357922049,33
world,"NorthAmerica",AnnualMean,area,0.760355035432124,0.0115504432641527,36.2508187305837,37.2533864978996,33
world,"NorthAmerica",AnnualMean,pop,-0.0439914240902105,0.792238425090491,40.0300757350111,38.1905088523544,33
world,"NorthAmerica",OSDMA8,area,0.0895495119759018,0.744891472543834,41.5769394226222,40.8946417279159,33
world,"NorthAmerica",OSDMA8,pop,-1.19008422870201,0.000188347631629846,46.8381689695056,42.2545409445924,33
world,"NorthAmerica",DJF,area,2.34411589887235,1.37554517888542e-09,29.257815734054,34.8696264632439,33
world,"NorthAmerica",DJF,pop,1.7099987421624,7.68591966977428e-10,29.9476119462588,34.3730678999548,33
world,"NorthAmerica",MAM,area,0.508424336765212,0.110505649243397,40.1764147689458,41.4853679178931,33
world,"NorthAmerica",MAM,pop,0.0465140738626297,0.840364419547018,43.3319924787227,42.0654745420265,33
world,"NorthAmerica",JJA,area,-0.771382201717653,0.04563224527432,41.4486481654184,38.318138145774,33
world,"NorthAmerica",JJA,pop,-1.89029656706758,2.33717633041908e-05,48.0191393670054,39.846148000491,33
world,"NorthAmerica",SON,area,0.890800883151928,0.019301492512039,34.1203962539164,34.3404134646874,33
world,"NorthAmerica",SON,pop,0.294687986056872,0.198430409681258,38.8215591480574,36.4773449669452,33
world,"NorthAmerica",SeasonAmp,area,-1.83194943514118,6.38926992427917e-08,14.2010793508383,10.0385316117574,33
world,"NorthAmerica",SeasonAmp,pop,-2.9158716454359,9.00774635802627e-09,19.053589282489,11.8649792331326,33
world,"Oceania",AnnualMean,area,-1.18914651853784,0.00165879292461778,28.1273829429184,28.9846140935771,33
world,"Oceania",AnnualMean,pop,0.464514983216759,0.271287115782941,31.2964366282896,27.7134735931183,33
world,"Oceania",OSDMA8,area,-1.10390077186733,0.00278592590125947,29.1937698930741,29.9126025571558,33
world,"Oceania",OSDMA8,pop,-0.186553805311687,0.50524509057667,31.8035742056102,28.2817171226463,33
world,"Oceania",DJF,area,-0.586574105367853,0.13284986695975,26.9601484942158,27.5590585566499,33
world,"Oceania",DJF,pop,1.20437805919211,0.0337761030599866,30.6431958028323,26.9770937377437,33
world,"Oceania",MAM,area,-1.23296790881787,0.0209620396487754,28.2578004183105,28.965686008237,33
world,"Oceania",MAM,pop,-0.260773353887203,0.744891472543834,31.3872585042913,27.7090681709859,33
world,"Oceania",JJA,area,-2.13335222577977,0.000212926603346979,28.9267770823946,30.1377624435492,33
world,"Oceania",JJA,pop,-0.783525094725781,0.019301492512039,31.7536345030343,28.3368997144278,33
world,"Oceania",SON,area,-0.565909114758898,0.344577618849168,28.3648057767526,29.2759493658722,33
world,"Oceania",SON,pop,0.81385089493189,0.232842046793915,31.4016577030004,27.8308327493158,33
world,"Oceania",SeasonAmp,area,-0.5187330283922,0.285018089702691,1.97126024783662,2.74840706460108,33
world,"Oceania",SeasonAmp,pop,-1.15285458122225,0.0246598560232906,1.11364409497868,1.67752757328526,33
world,"Russia",AnnualMean,area,0.798634240616904,0.016322031350919,34.0784120653588,39.3331508875404,33
world,"Russia",AnnualMean,pop,-0.492169822299848,0.344577618849168,33.252063246964,39.0836445599044,33
world,"Russia",OSDMA8,area,1.00779868232997,0.00227019888477217,34.7857417525917,42.8022524609154,33
world,"Russia",OSDMA8,pop,-0.411713078912361,0.609130070083629,34.1403853261973,43.3845200221603,33
world,"Russia",DJF,area,1.27807084994567,0.00227019888477217,33.5190013018059,35.7726209099999,33
world,"Russia",DJF,pop,-0.213362477948164,0.653187872435472,32.193338843865,34.1349553276185,33
world,"Russia",MAM,area,1.11221866376034,0.0312618727768783,35.0007065518391,42.6791643222913,33
world,"Russia",MAM,pop,-0.67407202039535,0.545656108406517,34.7563957645761,42.3347843201683,33
world,"Russia",JJA,area,0.611657760083463,0.285018089702691,34.1473403344838,42.1110541336562,33
world,"Russia",JJA,pop,-0.118228182038588,0.840364419547018,33.4752959805977,43.7509891953678,33
world,"Russia",SON,area,0.616761414988385,0.0527696019690178,33.6466000733062,36.7697641842141,33
world,"Russia",SON,pop,-0.770552671235049,0.0854542915250918,32.5832223988171,36.113849396463,33
world,"Russia",SeasonAmp,area,-0.00927926539537438,0.98763774198715,1.51601603868237,8.53332258793982,33
